nTrial,trialType,X1,Y1,T1,X2,Y2,T2,X3,Y3,T3,X4,Y4
285,4,1200,338,1,602,390,1.611998e+02,777,130,3.651081e+02,831,730
286,3,1075,478,1,535,415,8.071934e+01,NaN,NaN,3.921658e+02,NaN,NaN
287,3,1175,378,1,535,315,9.323347e+00,NaN,NaN,3.197726e+02,NaN,NaN
288,8,952,657,1,906,176,2.142891e+02,1154,430,3.649200e+02,591,330
289,4,1200,338,1,502,390,4.659631e+01,777,130,4.186463e+02,931,730
290,7,781,715,1,794,62,1.947853e+02,NaN,NaN,3.580912e+02,NaN,NaN
291,8,952,657,1,906,176,1.273435e+02,1154,430,3.646118e+02,591,430
292,8,952,757,1,806,76,2.143328e+02,1254,330,3.557787e+02,591,330
293,1,529,412,1,1152,334,1.065069e+02,NaN,NaN,3.157031e+02,NaN,NaN
294,2,573,451,1,1080,405,1.599186e+02,813,84,3.636234e+02,957,675
295,5,900,134,1,943,766,2.099882e+02,NaN,NaN,3.516207e+02,NaN,NaN
296,1,629,412,1,1152,434,5.900409e+01,NaN,NaN,3.561607e+02,NaN,NaN
297,5,900,134,1,843,766,9.277343e+01,NaN,NaN,2.768976e+02,NaN,NaN
298,8,852,757,1,906,176,3.035246e+01,1154,430,3.097861e+02,491,430
299,1,529,412,1,1252,434,9.652385e+01,NaN,NaN,4.136681e+02,NaN,NaN
300,4,1100,338,1,602,290,8.185278e+01,877,130,2.915715e+02,931,730
301,5,800,34,1,843,766,1.429724e+02,NaN,NaN,4.001365e+02,NaN,NaN
302,4,1100,438,1,602,390,1.189565e+02,877,130,3.234448e+02,831,730
303,2,573,351,1,1180,405,1.470233e+02,813,-16,3.119501e+02,857,775
304,8,952,757,1,806,176,2.365816e+02,1154,430,4.233957e+02,591,330
305,8,852,657,1,806,76,1.533918e+02,1254,330,3.443588e+02,591,330
306,6,808,70,1,904,615,7.622631e+01,495,468,4.010182e+02,1192,407
307,6,808,170,1,904,715,1.098752e+01,595,468,3.230058e+02,1192,307
308,1,529,412,1,1152,334,5.676767e+01,NaN,NaN,3.553749e+02,NaN,NaN
309,1,529,312,1,1152,434,1.481213e+02,NaN,NaN,3.109363e+02,NaN,NaN
310,3,1175,478,1,535,415,1.256917e+02,NaN,NaN,3.841666e+02,NaN,NaN
311,6,808,170,1,904,615,2.027463e+02,595,368,3.710772e+02,1092,307
312,6,908,170,1,804,615,1.198895e+02,595,368,4.085993e+02,1092,307
313,2,573,451,1,1080,405,1.955662e+02,813,84,3.435690e+02,957,775
314,7,881,615,1,794,62,1.067276e+02,NaN,NaN,2.779774e+02,NaN,NaN
315,2,573,351,1,1180,405,7.838785e-01,913,-16,3.938445e+02,957,675
316,1,529,412,1,1152,334,1.341021e+02,NaN,NaN,3.186631e+02,NaN,NaN
317,4,1100,438,1,502,390,7.730778e+01,777,30,4.142911e+02,831,630
318,7,881,715,1,794,162,1.530413e+02,NaN,NaN,4.079775e+02,NaN,NaN
319,5,800,34,1,843,766,1.893305e+02,NaN,NaN,3.566715e+02,NaN,NaN
320,1,529,412,1,1152,334,6.709975e+01,NaN,NaN,4.248370e+02,NaN,NaN
321,5,800,134,1,943,666,1.880198e+02,NaN,NaN,3.541341e+02,NaN,NaN
322,7,881,715,1,894,162,7.284356e+01,NaN,NaN,2.774201e+02,NaN,NaN
323,3,1175,378,1,635,315,3.944776e+01,NaN,NaN,3.015792e+02,NaN,NaN
324,6,908,70,1,804,715,1.372181e+02,595,468,3.474343e+02,1192,407
325,5,800,134,1,943,766,9.620379e+01,NaN,NaN,3.006332e+02,NaN,NaN
326,7,781,715,1,794,62,4.837020e+01,NaN,NaN,2.971762e+02,NaN,NaN
327,6,808,70,1,804,615,1.497693e+02,495,468,2.863638e+02,1092,307
328,1,529,412,1,1252,334,1.569729e+02,NaN,NaN,3.717719e+02,NaN,NaN
329,4,1100,438,1,502,390,6.246670e+01,877,30,2.756514e+02,831,630
330,2,573,351,1,1080,305,2.488311e+01,913,-16,3.009250e+02,957,775
331,8,852,757,1,806,76,2.081583e+02,1154,430,3.047017e+02,491,430
332,7,781,615,1,894,162,1.229965e+02,NaN,NaN,3.250666e+02,NaN,NaN
333,1,529,312,1,1252,334,1.380017e+02,NaN,NaN,3.590738e+02,NaN,NaN
334,2,573,351,1,1080,305,4.443856e+01,913,-16,4.087101e+02,957,675
335,7,781,715,1,894,62,1.257864e+02,NaN,NaN,3.710096e+02,NaN,NaN
336,3,1175,478,1,535,415,-4.251361e+01,NaN,NaN,2.911609e+02,NaN,NaN
337,8,852,657,1,906,76,1.417648e+01,1154,430,3.411839e+02,491,330
338,6,808,170,1,804,715,2.194070e+02,495,468,3.507632e+02,1192,407
339,3,1075,378,1,635,415,1.577997e+02,NaN,NaN,3.588483e+02,NaN,NaN
340,6,808,170,1,804,615,1.924077e+02,595,368,3.827598e+02,1192,407
341,5,900,134,1,843,666,3.614361e+01,NaN,NaN,2.974571e+02,NaN,NaN
342,1,529,312,1,1252,434,2.082898e+02,NaN,NaN,4.217906e+02,NaN,NaN
343,5,900,34,1,843,666,1.672401e+02,NaN,NaN,3.551269e+02,NaN,NaN
344,8,852,657,1,806,76,1.019598e+02,1154,330,4.130612e+02,591,330
345,6,908,70,1,904,615,5.522921e+01,495,368,3.595171e+02,1092,407
346,2,573,351,1,1080,305,1.528750e+02,813,84,4.001080e+02,857,675
347,4,1100,338,1,502,390,2.304155e+01,777,30,3.513640e+02,931,630
348,2,573,451,1,1080,405,1.276254e+02,813,84,3.174044e+02,857,675
349,4,1200,338,1,602,290,1.547707e+02,777,30,3.257567e+02,831,730
350,8,852,657,1,906,76,1.588390e+02,1154,330,3.278196e+02,491,330
351,6,808,170,1,804,715,9.903303e+01,595,368,3.833038e+02,1192,307
352,7,881,715,1,894,62,9.222493e+01,NaN,NaN,3.963880e+02,NaN,NaN
353,3,1175,378,1,535,415,5.404149e+01,NaN,NaN,3.046130e+02,NaN,NaN
354,3,1175,478,1,535,415,2.267584e+02,NaN,NaN,3.166007e+02,NaN,NaN
355,2,473,451,1,1080,305,1.247966e+02,913,84,4.141912e+02,857,675
356,5,800,34,1,843,766,8.093739e+01,NaN,NaN,3.616730e+02,NaN,NaN
357,8,852,657,1,906,176,1.794637e+02,1254,430,3.230629e+02,591,330
358,7,781,715,1,794,162,1.806711e+02,NaN,NaN,3.755926e+02,NaN,NaN
359,1,529,412,1,1152,334,1.652785e+02,NaN,NaN,3.483780e+02,NaN,NaN
360,3,1175,378,1,535,315,4.886451e+01,NaN,NaN,3.924367e+02,NaN,NaN
361,8,852,657,1,806,76,1.154478e+02,1154,330,4.118880e+02,491,330
362,3,1075,478,1,535,315,8.360980e+01,NaN,NaN,4.233235e+02,NaN,NaN
363,1,529,412,1,1252,434,5.640257e+01,NaN,NaN,3.025002e+02,NaN,NaN
364,4,1200,438,1,602,390,1.410435e+02,777,30,3.948242e+02,931,730
365,3,1175,478,1,635,315,6.736873e+01,NaN,NaN,4.085250e+02,NaN,NaN
366,2,573,451,1,1180,405,7.998300e+01,913,-16,3.529150e+02,957,775
367,6,808,70,1,804,615,1.626421e+02,495,368,3.419696e+02,1092,407
368,4,1100,438,1,602,290,7.581813e+01,777,30,3.865212e+02,931,630
369,7,781,615,1,894,162,1.825857e+02,NaN,NaN,3.746853e+02,NaN,NaN
370,3,1075,478,1,535,415,1.021964e+02,NaN,NaN,2.841218e+02,NaN,NaN
371,3,1075,378,1,635,315,1.294588e+02,NaN,NaN,3.513313e+02,NaN,NaN
372,3,1075,378,1,535,315,1.057155e+01,NaN,NaN,4.029777e+02,NaN,NaN
373,5,900,34,1,843,666,1.420936e+02,NaN,NaN,3.805934e+02,NaN,NaN
374,8,952,757,1,906,176,4.849631e+01,1154,330,3.792970e+02,591,330
375,4,1200,438,1,502,290,4.921810e+01,777,30,3.590561e+02,931,630
376,7,881,715,1,794,62,1.929530e+02,NaN,NaN,3.837989e+02,NaN,NaN
377,5,900,34,1,943,766,1.011817e+02,NaN,NaN,3.858515e+02,NaN,NaN
378,6,908,170,1,904,715,1.688282e+02,595,468,2.912269e+02,1092,307
379,5,800,34,1,843,766,7.608953e+01,NaN,NaN,3.430563e+02,NaN,NaN
380,2,573,451,1,1080,305,4.741188e+01,913,84,3.831115e+02,957,675
381,2,473,351,1,1080,305,9.751813e+01,913,84,3.711825e+02,857,675
382,4,1100,338,1,602,390,1.093263e+01,877,30,2.793625e+02,931,630
383,7,781,715,1,794,62,9.456349e+01,NaN,NaN,3.790631e+02,NaN,NaN
384,4,1200,438,1,602,390,-1.045912e+00,777,30,3.447719e+02,831,730
385,3,1175,378,1,535,315,7.613334e+01,NaN,NaN,2.931392e+02,NaN,NaN
386,5,900,134,1,843,766,9.518004e+01,NaN,NaN,2.756690e+02,NaN,NaN
387,4,1100,338,1,602,290,1.345336e+02,777,30,2.768464e+02,931,630
388,6,908,170,1,904,615,9.275576e+01,495,368,2.980381e+02,1092,307
389,1,629,312,1,1152,434,1.405904e+02,NaN,NaN,3.701860e+02,NaN,NaN
390,7,881,715,1,894,162,1.601265e+01,NaN,NaN,4.241685e+02,NaN,NaN
391,6,908,70,1,804,715,2.023148e+02,495,468,3.663074e+02,1092,407
392,2,573,451,1,1080,305,1.939886e+02,913,-16,4.179001e+02,957,775
393,8,852,757,1,806,76,1.026471e+01,1154,330,3.979406e+02,591,330
394,8,852,757,1,806,76,7.435267e+00,1254,430,4.248933e+02,491,330
395,3,1175,478,1,635,315,1.542083e+02,NaN,NaN,3.337881e+02,NaN,NaN
396,7,881,715,1,894,162,5.484446e+00,NaN,NaN,3.362937e+02,NaN,NaN
397,7,781,615,1,894,162,2.088422e+02,NaN,NaN,2.891949e+02,NaN,NaN
398,1,529,412,1,1252,434,4.856508e+01,NaN,NaN,3.619639e+02,NaN,NaN
399,2,573,351,1,1080,305,3.417536e+01,913,84,3.392426e+02,857,775
400,1,529,412,1,1252,334,6.185836e+01,NaN,NaN,3.519679e+02,NaN,NaN
401,3,1175,378,1,535,415,4.035513e+01,NaN,NaN,2.924710e+02,NaN,NaN
402,2,573,451,1,1180,405,1.433354e+02,813,84,3.401142e+02,857,775
403,7,781,715,1,894,62,-1.832988e+01,NaN,NaN,3.910204e+02,NaN,NaN
404,2,473,451,1,1080,305,8.405365e+01,813,-16,4.206360e+02,857,675
405,8,852,657,1,906,176,5.171758e+01,1154,330,3.420378e+02,491,330
406,6,908,170,1,804,615,3.234808e+01,495,468,3.723751e+02,1092,307
407,6,808,70,1,804,615,1.113462e+02,595,368,4.029365e+02,1092,407
408,1,629,312,1,1252,434,7.548399e+01,NaN,NaN,3.607715e+02,NaN,NaN
409,1,529,312,1,1152,334,1.516894e+02,NaN,NaN,3.171128e+02,NaN,NaN
410,8,952,657,1,906,176,1.518847e+02,1154,330,3.760145e+02,491,330
411,7,881,715,1,894,162,4.735359e-01,NaN,NaN,3.915737e+02,NaN,NaN
412,1,529,312,1,1252,334,5.930380e+01,NaN,NaN,2.752452e+02,NaN,NaN
413,5,800,34,1,843,766,9.191191e+01,NaN,NaN,4.162157e+02,NaN,NaN
414,7,781,715,1,894,62,3.219574e+01,NaN,NaN,3.335188e+02,NaN,NaN
415,6,908,170,1,804,615,1.072142e+02,495,368,3.418116e+02,1092,307
416,7,781,615,1,794,62,1.888896e+02,NaN,NaN,2.880126e+02,NaN,NaN
417,2,473,351,1,1180,305,1.736465e+02,913,-16,3.239191e+02,857,775
418,2,573,451,1,1180,305,1.412094e+02,913,-16,3.584636e+02,957,675
419,3,1075,378,1,635,315,1.493866e+02,NaN,NaN,2.760286e+02,NaN,NaN
420,2,573,351,1,1180,305,-1.478665e+01,813,-16,3.500517e+02,957,775
421,7,881,715,1,794,62,1.017516e+02,NaN,NaN,3.836298e+02,NaN,NaN
